,Race,Age,Gender,Location,Year,Count,Population
106,Asian,15–19,F,G1,2014,0.0,22.0
107,Asian,15–19,F,G1,2015,2.0,23.0
108,Asian,15–19,F,G4,2010,0.0,100.0
109,Asian,15–19,F,G4,2011,0.0,108.0
110,Asian,15–19,F,G4,2012,0.0,119.0
111,Asian,15–19,F,G4,2013,1.0,137.0
112,Asian,15–19,F,G4,2014,3.0,140.0
113,Asian,15–19,F,G4,2015,1.0,135.0
114,Asian,15–19,F,C1,2010,4.0,21.0
115,Asian,15–19,F,C1,2011,0.0,25.0
116,Asian,15–19,F,C1,2012,2.0,38.0
117,Asian,15–19,F,C1,2013,1.0,32.0
118,Asian,15–19,F,C1,2014,1.0,29.0
119,Asian,15–19,F,C1,2015,0.0,34.0
120,Asian,15–19,F,A7,2010,2.0,12.0
121,Asian,15–19,F,A7,2011,0.0,20.0
122,Asian,15–19,F,A7,2012,2.0,26.0
123,Asian,15–19,F,A7,2013,1.0,33.0
124,Asian,15–19,F,A7,2014,1.0,34.0
125,Asian,15–19,F,A7,2015,1.0,36.0
126,Asian,15–19,F,D5,2010,4.0,87.0
127,Asian,15–19,F,D5,2011,1.0,84.0
128,Asian,15–19,F,D5,2012,3.0,85.0
129,Asian,15–19,F,D5,2013,4.0,89.0
130,Asian,15–19,F,D5,2014,2.0,91.0
131,Asian,15–19,F,D5,2015,2.0,108.0
132,Asian,15–19,F,H2,2010,4.0,26.0
133,Asian,15–19,F,H2,2011,0.0,31.0
134,Asian,15–19,F,H2,2012,5.0,27.0
135,Asian,15–19,F,H2,2013,1.0,31.0
136,Asian,15–19,F,H2,2014,0.0,26.0
137,Asian,15–19,F,H2,2015,1.0,21.0
138,Asian,15–19,F,H3,2010,1.0,126.0
139,Asian,15–19,F,H3,2011,4.0,126.0
140,Asian,15–19,F,H3,2012,8.0,131.0
141,Asian,15–19,F,H3,2013,3.0,137.0
142,Asian,15–19,F,H3,2014,6.0,151.0
143,Asian,15–19,F,H3,2015,0.0,180.0
144,Asian,15–19,F,C7,2010,1.0,482.0
145,Asian,15–19,F,C7,2011,1.0,493.0
146,Asian,15–19,F,C7,2012,3.0,514.0
147,Asian,15–19,F,C7,2013,2.0,542.0
148,Asian,15–19,F,C7,2014,1.0,576.0
149,Asian,15–19,F,C7,2015,0.0,590.0
150,Asian,15–19,F,E6,2010,5.0,99.0
151,Asian,15–19,F,E6,2011,6.0,115.0
152,Asian,15–19,F,E6,2012,5.0,123.0
153,Asian,15–19,F,E6,2013,2.0,142.0
154,Asian,15–19,F,E6,2014,5.0,149.0
155,Asian,15–19,F,E6,2015,3.0,153.0
156,Asian,15–19,F,C5,2010,0.0,21.0
157,Asian,15–19,F,C5,2011,1.0,25.0
158,Asian,15–19,F,C5,2012,1.0,20.0
159,Asian,15–19,F,C5,2013,0.0,16.0
160,Asian,15–19,F,C5,2014,2.0,17.0
161,Asian,15–19,F,C5,2015,1.0,16.0
162,Asian,15–19,F,B8,2010,0.0,35.0
163,Asian,15–19,F,B8,2011,4.0,34.0
164,Asian,15–19,F,B8,2012,1.0,38.0
165,Asian,15–19,F,B8,2013,0.0,39.0
166,Asian,15–19,F,B8,2014,2.0,36.0
167,Asian,15–19,F,B8,2015,3.0,47.0
168,Asian,15–19,F,E3,2010,6.0,47.0
169,Asian,15–19,F,E3,2011,10.0,52.0
170,Asian,15–19,F,E3,2012,2.0,61.0
171,Asian,15–19,F,E3,2013,1.0,59.0
172,Asian,15–19,F,E3,2014,1.0,62.0
173,Asian,15–19,F,E3,2015,7.0,58.0
174,Asian,15–19,F,F5,2010,15.0,303.0
175,Asian,15–19,F,F5,2011,13.0,324.0
176,Asian,15–19,F,F5,2012,17.0,303.0
177,Asian,15–19,F,F5,2013,9.0,299.0
